COUNTY,CENTER,PHONE,AGES,CAPACITY,CITY,ADDR1,ADDR2,ZIP,Full Address,lon,lat
Bergen,Anshei Lubavitch Daycare Center,201-794-3770,0 to 6,42,Fair Lawn,8-09 Plaza Rd,,7410,"8-09 Plaza Rd,Fair Lawn, NJ 7410",-74.115169,40.932439
Hudson,Munchkin Village,201-395-9440,0 to 13,49,Jersey City,127 Ocean Ave,,7305,"127 Ocean Ave,Jersey City, NJ 7305",-74.0939861,40.6930431
Hudson,"Tatis Small World Learning Center, Inc.",201-601-3189,0 to 13,88,Union City,132 32 Street,,7087,"132 32 Street,Union City, NJ 7087",-74.0264923,40.7689014
Union,YM/YWHA of Union County,908-289-8112,0 to 13,386,Union,501 Green Lane,,7083,"501 Green Lane,Union, NJ 7083",-74.2458496,40.6745895
Morris,Heritage Children's Academy,973-895-2277,0 to 13,141,Randolph,1360 Sussex Tpke,,7869,"1360 Sussex Tpke,Randolph, NJ 7869",-74.5974448,40.8370631
Union,Jewish Community Center of Central N.J.,908-889-8800,0 to 13,250,Scotch Plains,1391 Martine Ave,,7076,"1391 Martine Ave,Scotch Plains, NJ 7076",-74.3653627,40.6318636
Cumberland,Cumberland Cape Atlantic YMCA,856-691-0030,0 to 13,305,Vineland,1159 E Landis Ave,,8360,"1159 E Landis Ave,Vineland, NJ 8360",-75.0016841,39.4839598
Mercer,Crossroads,609-951-4699,0 to 6,87,Princeton,225 Olden La,,8540,"225 Olden La,Princeton, NJ 8540",-74.6640954,40.3313604
Morris,Jefferson Child Care & Education Center,973-663-2704,0 to 13,109,Lake Hopatcong,29 Nolan'S Point Rd,,7849,"29 Nolan'S Point Rd,Lake Hopatcong, NJ 7849",-74.620716,40.946765
Middlesex,Raritan Valley YMCA,732-257-4114,0 to 13,146,East Brunswick,144 Tices Lane,,8816,"144 Tices Lane,East Brunswick, NJ 8816",-74.4155617,40.4527186
Essex,Hedwig Gruenewald Early Childhood Ctr. Of Cong. B'nai Israel,973-379-4040,0 to 6,94,Millburn,160 Millburn Ave,,7041,"160 Millburn Ave,Millburn, NJ 7041",-74.2928255,40.7214134
Cumberland,Upper Deerfield Pre-School,856-455-7975,0 to 13,99,Upper Deerfield Twp,1123 Hwy 77,Building 3,8302,"1123 Hwy 77,Upper Deerfield Twp, NJ 8302",-75.2066066,39.469869
